scraped_at,category,product_id,name,brand,variant,price_gbp,unit_price_raw,region,promo_label,product_url,image_url,is_brand_placeholder,bottle_size_cl,bottle_size_l,abv_percent,unit_price_gbp_per_litre,discount_amount_gbp,is_discounted,price_pre_discount_calc_gbp,true_price_gbp,true_unit_price_per_l,alcohol_units,true_price_per_alcohol_unit_gbp,price_tier,discount_percent,discount_band,age_years,is_age_stated,age_band,bottle_size_band,abv_band,is_cask_strength
2025-12-29 22:13:54,Single Malt,3121,Lagavulin 16 Year Old,Lagavulin,70cl / 43%,65.79,(£112.79 per litre),Islay,,https://www.thewhiskyexchange.com/p/3121/lagavulin-16-year-old,https://img.thewhiskyexchange.com/380/lgvob.16yo.jpg?v=202407241,False,70.0,0.7,43.0,112.79,,False,65.79,65.79,93.99,30.099999999999998,2.19,Premium,0.0,No Discount,16.0,True,16–18,Standard (70cl),40–43%,False
2025-12-29 22:13:54,Single Malt,73311,Laphroaig 10 Year Old Cask Strength / Batch 016,Laphroaig,70cl / 58.5%,58.29,(£99.93 per litre),Islay,,https://www.thewhiskyexchange.com/p/73311/laphroaig-10-year-old-cask-strength-batch-016,https://img.thewhiskyexchange.com/380/lrgob.10yov92.jpg?v=202407241,False,70.0,0.7,58.5,99.93,,False,58.29,58.29,83.27,40.949999999999996,1.42,Premium,0.0,No Discount,10.0,True,≤10,Standard (70cl),50%+,True
2025-12-29 22:13:54,Single Malt,56151,Talisker 2011 / 8 Year Old / Rum Finish / Special Releases 2020,Talisker,70cl / 57.9%,80.79,(£138.50 per litre),Island,,https://www.thewhiskyexchange.com/p/56151/talisker-2011-8-year-old-rum-finish-special-releases-2020,https://img.thewhiskyexchange.com/380/talob.08yov13.jpg?v=202407241,False,70.0,0.7,57.9,138.5,,False,80.79,80.79,115.41,40.529999999999994,1.99,Premium,0.0,No Discount,8.0,True,≤10,Standard (70cl),50%+,True
2025-12-29 22:13:54,Single Malt,49646,Glen Scotia Victoriana,Glen Scotia,70cl / 54.2%,63.54,(£108.93 per litre),Campbeltown,,https://www.thewhiskyexchange.com/p/49646/glen-scotia-victoriana,https://img.thewhiskyexchange.com/380/gstob.non6.jpg?v=202407241,False,70.0,0.7,54.2,108.93,,False,63.54,63.54,90.77,37.94,1.67,Premium,0.0,No Discount,,False,,Standard (70cl),50%+,True
2025-12-29 22:13:54,Single Malt,48135,Glenfarclas 25 Year Old London Edition / Exclusive to The Whisky Exchange,Glenfarclas,70cl / 50.5%,249.17,(£427.14 per litre),Speyside,,https://www.thewhiskyexchange.com/p/48135/glenfarclas-25-year-old-london-edition-exclusive-to-the-whisky-exchange,https://img.thewhiskyexchange.com/380/gfcob.25yov15.jpg?v=202407241,False,70.0,0.7,50.5,427.14,,False,249.17,249.17,355.96,35.349999999999994,7.05,Luxury,0.0,No Discount,25.0,True,19–25,Standard (70cl),50%+,True
2025-12-29 22:13:54,Single Malt,82436,Ardbeg 17 Year Old The Legend Returns / Committee Exclusive,Ardbeg,70cl / 40%,133.33,(£228.57 per litre),Islay,,https://www.thewhiskyexchange.com/p/82436/ardbeg-17-year-old-the-legend-returns-committee-exclusive,https://img.thewhiskyexchange.com/380/abgob.17yov7.jpg?v=202407241,False,70.0,0.7,40.0,228.57,,False,133.33,133.33,190.47,28.0,4.76,Luxury,0.0,No Discount,17.0,True,16–18,Standard (70cl),≤40%,False
2025-12-29 22:13:54,Single Malt,232,Arran 10 Year Old,Arran,70cl / 46%,38.96,(£58.21 per litre),Island,Special Offer: £6 Off!,https://www.thewhiskyexchange.com/p/232/arran-10-year-old,https://img.thewhiskyexchange.com/380/arrob.10yov1.jpg?v=202407241,False,70.0,0.7,46.0,58.21,6.0,True,44.96,44.96,64.23,32.199999999999996,1.4,Premium,13.35,Medium (10–20%),10.0,True,≤10,Standard (70cl),43–46%,False
2025-12-29 22:13:54,Single Malt,67780,Scapa 2003 / 19 Year Old / Exclusive to The Whisky Exchange,Scapa,70cl / 56.7%,154.17,(£264.29 per litre),Island,,https://www.thewhiskyexchange.com/p/67780/scapa-2003-19-year-old-exclusive-to-the-whisky-exchange,https://img.thewhiskyexchange.com/380/scpob.2003.jpg?v=202407241,False,70.0,0.7,56.7,264.29,,False,154.17,154.17,220.24,39.69,3.88,Luxury,0.0,No Discount,19.0,True,19–25,Standard (70cl),50%+,True
2025-12-29 22:13:54,Single Malt,48762,Balblair 15 Year Old,Balblair,70cl / 46%,71.62,(£122.79 per litre),Highland,,https://www.thewhiskyexchange.com/p/48762/balblair-15-year-old,https://img.thewhiskyexchange.com/380/blbob.15yo.jpg?v=202407241,False,70.0,0.7,46.0,122.79,,False,71.62,71.62,102.31,32.199999999999996,2.22,Premium,0.0,No Discount,15.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:13:54,Single Malt,7635,Glenfiddich 21 Year Old / Gran Reserva Rum Cask Finish,Glenfiddich,70cl / 40%,154.17,(£264.29 per litre),Speyside,,https://www.thewhiskyexchange.com/p/7635/glenfiddich-21-year-old-gran-reserva-rum-cask-finish,https://img.thewhiskyexchange.com/380/gfdob.21yo.jpg?v=202407241,False,70.0,0.7,40.0,264.29,,False,154.17,154.17,220.24,28.0,5.51,Luxury,0.0,No Discount,21.0,True,19–25,Standard (70cl),≤40%,False
2025-12-29 22:13:54,Single Malt,73225,Blair Athol 12 Year Old / Flora & Fauna,Blair Athol,70cl / 43%,49.79,(£85.36 per litre),Highland,,https://www.thewhiskyexchange.com/p/73225/blair-athol-12-year-old-flora-fauna,https://img.thewhiskyexchange.com/380/blaob.12yov2.jpg?v=202407241,False,70.0,0.7,43.0,85.36,,False,49.79,49.79,71.13,30.099999999999998,1.65,Premium,0.0,No Discount,12.0,True,11–15,Standard (70cl),40–43%,False
2025-12-29 22:13:54,Single Malt,67781,Strathisla 2007 / 15 Year Old / Exclusive to The Whisky Exchange,Strathisla,70cl / 60.3%,104.17,(£178.57 per litre),Speyside,,https://www.thewhiskyexchange.com/p/67781/strathisla-2007-15-year-old-exclusive-to-the-whisky-exchange,https://img.thewhiskyexchange.com/380/stlob.2007.jpg?v=202407241,False,70.0,0.7,60.3,178.57,,False,104.17,104.17,148.81,42.209999999999994,2.47,Premium,0.0,No Discount,15.0,True,11–15,Standard (70cl),50%+,True
2025-12-29 22:13:54,Single Malt,17985,Balvenie 14 Year Old Caribbean Cask,Balvenie,70cl / 43%,59.79,(£102.50 per litre),Speyside,,https://www.thewhiskyexchange.com/p/17985/balvenie-14-year-old-caribbean-cask,https://img.thewhiskyexchange.com/380/balob.14yov4.jpg?v=202407241,False,70.0,0.7,43.0,102.5,,False,59.79,59.79,85.41,30.099999999999998,1.99,Premium,0.0,No Discount,14.0,True,11–15,Standard (70cl),40–43%,False
2025-12-29 22:13:54,Single Malt,43962,Port Charlotte 10 Year Old,Port Charlotte,70cl / 50%,49.38,(£84.64 per litre),Islay,,https://www.thewhiskyexchange.com/p/43962/port-charlotte-10-year-old,https://img.thewhiskyexchange.com/380/pclob.10yov3.jpg?v=202407241,False,70.0,0.7,50.0,84.64,,False,49.38,49.38,70.54,35.0,1.41,Premium,0.0,No Discount,10.0,True,≤10,Standard (70cl),46–50%,True
2025-12-29 22:13:54,Single Malt,51008,Glenallachie 15 Year Old / Sherry Cask,Glenallachie,70cl / 46%,57.08,(£97.86 per litre),Speyside,,https://www.thewhiskyexchange.com/p/51008/glenallachie-15-year-old-sherry-cask,https://img.thewhiskyexchange.com/380/gleob.15yo.jpg?v=202407241,False,70.0,0.7,46.0,97.86,,False,57.08,57.08,81.54,32.199999999999996,1.77,Premium,0.0,No Discount,15.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:13:54,Single Malt,2038,Glenfarclas 15 Year Old,Glenfarclas,70cl / 46%,66.62,(£114.21 per litre),Speyside,,https://www.thewhiskyexchange.com/p/2038/glenfarclas-15-year-old,https://img.thewhiskyexchange.com/380/gfcob.15yo.jpg?v=202407241,False,70.0,0.7,46.0,114.21,,False,66.62,66.62,95.17,32.199999999999996,2.07,Premium,0.0,No Discount,15.0,True,11–15,Standard (70cl),43–46%,False
