scraped_at,category,product_id,name,brand,variant,price_gbp,unit_price_raw,region,promo_label,status,product_url,image_url
2025-12-29 22:13:54,Single Malt,3121,Lagavulin 16 Year Old,Lagavulin,70cl / 43%,65.79,(£112.79 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/3121/lagavulin-16-year-old,https://img.thewhiskyexchange.com/380/lgvob.16yo.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,73311,Laphroaig 10 Year Old Cask Strength / Batch 016,Laphroaig,70cl / 58.5%,58.29,(£99.93 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/73311/laphroaig-10-year-old-cask-strength-batch-016,https://img.thewhiskyexchange.com/380/lrgob.10yov92.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,56151,Talisker 2011 / 8 Year Old / Rum Finish / Special Releases 2020,Talisker,70cl / 57.9%,80.79,(£138.50 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/56151/talisker-2011-8-year-old-rum-finish-special-releases-2020,https://img.thewhiskyexchange.com/380/talob.08yov13.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,49646,Glen Scotia Victoriana,Glen Scotia,70cl / 54.2%,63.54,(£108.93 per litre),Campbeltown,,In Stock,https://www.thewhiskyexchange.com/p/49646/glen-scotia-victoriana,https://img.thewhiskyexchange.com/380/gstob.non6.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,48135,Glenfarclas 25 Year Old London Edition / Exclusive to The Whisky Exchange,Glenfarclas,70cl / 50.5%,249.17,(£427.14 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/48135/glenfarclas-25-year-old-london-edition-exclusive-to-the-whisky-exchange,https://img.thewhiskyexchange.com/380/gfcob.25yov15.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,82436,Ardbeg 17 Year Old The Legend Returns / Committee Exclusive,Ardbeg,70cl / 40%,133.33,(£228.57 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/82436/ardbeg-17-year-old-the-legend-returns-committee-exclusive,https://img.thewhiskyexchange.com/380/abgob.17yov7.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,232,Arran 10 Year Old,Arran,70cl / 46%,38.96,(£58.21 per litre),Island,Special Offer: £6 Off!,In Stock,https://www.thewhiskyexchange.com/p/232/arran-10-year-old,https://img.thewhiskyexchange.com/380/arrob.10yov1.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,67780,Scapa 2003 / 19 Year Old / Exclusive to The Whisky Exchange,Scapa,70cl / 56.7%,154.17,(£264.29 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/67780/scapa-2003-19-year-old-exclusive-to-the-whisky-exchange,https://img.thewhiskyexchange.com/380/scpob.2003.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,48762,Balblair 15 Year Old,Balblair,70cl / 46%,71.62,(£122.79 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/48762/balblair-15-year-old,https://img.thewhiskyexchange.com/380/blbob.15yo.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,7635,Glenfiddich 21 Year Old / Gran Reserva Rum Cask Finish,Glenfiddich,70cl / 40%,154.17,(£264.29 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/7635/glenfiddich-21-year-old-gran-reserva-rum-cask-finish,https://img.thewhiskyexchange.com/380/gfdob.21yo.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,73225,Blair Athol 12 Year Old / Flora & Fauna,Blair Athol,70cl / 43%,49.79,(£85.36 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/73225/blair-athol-12-year-old-flora-fauna,https://img.thewhiskyexchange.com/380/blaob.12yov2.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,67781,Strathisla 2007 / 15 Year Old / Exclusive to The Whisky Exchange,Strathisla,70cl / 60.3%,104.17,(£178.57 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/67781/strathisla-2007-15-year-old-exclusive-to-the-whisky-exchange,https://img.thewhiskyexchange.com/380/stlob.2007.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,17985,Balvenie 14 Year Old Caribbean Cask,Balvenie,70cl / 43%,59.79,(£102.50 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/17985/balvenie-14-year-old-caribbean-cask,https://img.thewhiskyexchange.com/380/balob.14yov4.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,43962,Port Charlotte 10 Year Old,Port Charlotte,70cl / 50%,49.38,(£84.64 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/43962/port-charlotte-10-year-old,https://img.thewhiskyexchange.com/380/pclob.10yov3.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,51008,Glenallachie 15 Year Old / Sherry Cask,Glenallachie,70cl / 46%,57.08,(£97.86 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/51008/glenallachie-15-year-old-sherry-cask,https://img.thewhiskyexchange.com/380/gleob.15yo.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,2038,Glenfarclas 15 Year Old,Glenfarclas,70cl / 46%,66.62,(£114.21 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/2038/glenfarclas-15-year-old,https://img.thewhiskyexchange.com/380/gfcob.15yo.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,64061,Glendronach 15 Year Old / Sherry Cask Matured,Glendronach,70cl / 46%,67.71,(£116.07 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/64061/glendronach-15-year-old-sherry-cask-matured,https://img.thewhiskyexchange.com/380/grnob.15yov10.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,3395,Laphroaig 10 Year Old,Laphroaig,70cl / 40%,34.12,(£58.50 per litre),Islay,Special Offer: Free Laphroaig Dry Bag,In Stock,https://www.thewhiskyexchange.com/p/3395/laphroaig-10-year-old,https://img.thewhiskyexchange.com/380/lrgob.10yov1.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,60097,Royal Brackla 12 Year Old / Sherry Finish,Royal Brackla,70cl / 46%,57.71,(£98.93 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/60097/royal-brackla-12-year-old-sherry-finish,https://img.thewhiskyexchange.com/380/rblob.12yov3.jpg?v=202407241
