scraped_at,category,product_id,name,brand,variant,price_ex_vat_gbp,unit_price_raw,region,promo_label,status,product_url,image_url,rating_stars,review_count,price_inc_vat_gbp,price_before_discount_gbp,style_body,style_richness,style_smoke,style_sweetness,character_notes,fact_bottler,fact_country,fact_region,fact_cask_type,fact_colouring
2026-01-15 09:15:51,Single Malt,3121,Lagavulin 16 Year Old,Lagavulin,70cl / 43%,65.79,(£112.79 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/3121/lagavulin-16-year-old,https://img.thewhiskyexchange.com/380/lgvob.16yo.jpg?v=202407241,4.5,372,78.95,,4,3,4,3,Orange|Kippers|Smoke|Brine|Pineapple,Distillery Bottling,Scotland,Islay,,Yes
2026-01-15 09:15:51,Single Malt,86756,Thompson Bros Mystery Malt Series No.5,Various Distilleries,70cl / 46.3%,54.12,(£92.79 per litre),Single Malt Scotch Whisky,,In Stock,https://www.thewhiskyexchange.com/p/86756/thompson-bros-mystery-malt-series-no5,https://img.thewhiskyexchange.com/380/malts_tho4.jpg?v=202407241,,,64.95,,,,,,,Thompson Bros,Scotland,,,
2026-01-15 09:15:51,Single Malt,83347,Aberlour A'Bunadh,Aberlour,70cl / 60%,78.12,(£91.07 per litre),Speyside,Special Offer: £30 Off!,In Stock,https://www.thewhiskyexchange.com/p/83347/aberlour-abunadh,https://img.thewhiskyexchange.com/380/ablob.non65.jpg?v=202407241,,,63.75,93.75,4,4,0,3,Walnut|Nougat|Orange|Cinnamon,Distillery Bottling,Scotland,Speyside,Oloroso Sherry Butt,
2026-01-15 09:15:51,Single Malt,284,Balvenie 12 Year Old DoubleWood,Balvenie,70cl / 40%,44.58,(£66.43 per litre),Speyside,Special Offer: £7 Off!,In Stock,https://www.thewhiskyexchange.com/p/284/balvenie-12-year-old-doublewood,https://img.thewhiskyexchange.com/380/balob.12yo.jpg?v=202407241,4.5,150,46.50,53.50,3,4,0,4,Cinnamon|Raspberry|Milk Chocolate|Black Pepper|Stewed Fruit|Apple,Distillery Bottling,Scotland,Speyside,Sherry  Finish,Yes
2026-01-15 09:15:51,Single Malt,43741,Glenallachie 12 Year Old,Glenallachie,70cl / 46%,40.42,(£69.29 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/43741/glenallachie-12-year-old,https://img.thewhiskyexchange.com/380/gleob.12yov4.jpg?v=202407241,4.5,17,48.50,,3,3,0,3,Butterscotch|Honey|Raisins|Marzipan|Banana|Milk Chocolate,Distillery Bottling,Scotland,Speyside,,No
2026-01-15 09:15:51,Single Malt,232,Arran 10 Year Old,Arran,70cl / 46%,38.96,(£66.79 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/232/arran-10-year-old,https://img.thewhiskyexchange.com/380/arrob.10yov1.jpg?v=202407241,4.5,43,46.75,,2,2,0,2,Lemon|Vanilla|Orange|Cinnamon,Distillery Bottling,Scotland,Island,,No
2026-01-15 09:15:51,Single Malt,51008,Glenallachie 15 Year Old / Sherry Cask,Glenallachie,70cl / 46%,57.08,(£97.86 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/51008/glenallachie-15-year-old-sherry-cask,https://img.thewhiskyexchange.com/380/gleob.15yo.jpg?v=202407241,5,26,68.50,,4,3,0,4,Toffee|Hazelnut|Honey|Orange|Ginger|Cherry,Distillery Bottling,Scotland,Speyside,Sherry,No
2026-01-15 09:15:51,Single Malt,3512,Macallan 12 Year Old Sherry Oak,Macallan,70cl / 40%,72.46,(£124.21 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/3512/macallan-12-year-old-sherry-oak,https://img.thewhiskyexchange.com/380/macob.12yo.jpg?v=202407241,4.5,100,86.95,,3,3,1,2,Dried Fruit|Sherry|Smoke|Plums|Prunes|Oak,Distillery Bottling,Scotland,Speyside,Sherry,No
2026-01-15 09:15:51,Single Malt,34537,Macallan 12 Year Old Double Cask,Macallan,70cl / 40%,64.96,(£111.36 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/34537/macallan-12-year-old-double-cask,https://img.thewhiskyexchange.com/380/macob.12yov26.jpg?v=202407241,4,39,77.95,,3,3,0,2,Vanilla|Custard|Orange|Raisins|Ginger|Nutmeg,Distillery Bottling,Scotland,Speyside,Oloroso Sherry,No
2026-01-15 09:15:51,Single Malt,17985,Balvenie 14 Year Old Caribbean Cask,Balvenie,70cl / 43%,59.79,(£102.50 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/17985/balvenie-14-year-old-caribbean-cask,https://img.thewhiskyexchange.com/380/balob.14yov4.jpg?v=202407241,4.5,73,71.75,,3,3,0,4,Rum|Honey|Raisins|Toffee|Nutmeg|Cream,Distillery Bottling,Scotland,Speyside,Rum,Yes
